2019-11-19 08:48:59.846 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.ictt.zhanghui.eureka_common.EurekaCommonApplicationTests], using SpringBootContextLoader
2019-11-19 08:48:59.855 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.ictt.zhanghui.eureka_common.EurekaCommonApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-19 08:48:59.855 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.ictt.zhanghui.eureka_common.EurekaCommonApplicationTests]: EurekaCommonApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-19 08:49:00.101 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.ictt.zhanghui.eureka_common.EurekaCommonApplication for test class cn.ictt.zhanghui.eureka_common.EurekaCommonApplicationTests
2019-11-19 08:49:00.352 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-11-19 08:49:00.368 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4de4b452, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@50b5ac82, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@101952da, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6babf3bf, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3059cbc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7ea9e1e2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@24fcf36f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@10feca44, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3fb1549b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@ea6147e]
2019-11-19 08:49:01.170 [main] INFO  c.i.z.eureka_common.EurekaCommonApplicationTests - Starting EurekaCommonApplicationTests on DESKTOP-GFT4G5U with PID 18720 (started by Dell in D:\develop\workspace\workspace-cs\eureka-common)
2019-11-19 08:49:01.171 [main] INFO  c.i.z.eureka_common.EurekaCommonApplicationTests - No active profile set, falling back to default profiles: default
2019-11-19 08:49:01.308 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6f43c82: startup date [Tue Nov 19 08:49:01 CST 2019]; root of context hierarchy
2019-11-19 08:49:04.689 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-11-19 08:49:05.044 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@6f43c82: startup date [Tue Nov 19 08:49:01 CST 2019]; root of context hierarchy
