2019-06-20 10:59:30.751 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.ictt.zhanghui.eurekaserver.EurekaServerApplicationTests], using SpringBootContextLoader
2019-06-20 10:59:30.758 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.ictt.zhanghui.eurekaserver.EurekaServerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-06-20 10:59:30.760 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.ictt.zhanghui.eurekaserver.EurekaServerApplicationTests]: EurekaServerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-06-20 11:02:44.093 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.ictt.zhanghui.eurekaserver.EurekaServerApplicationTests], using SpringBootContextLoader
2019-06-20 11:02:44.099 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.ictt.zhanghui.eurekaserver.EurekaServerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-06-20 11:02:44.101 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.ictt.zhanghui.eurekaserver.EurekaServerApplicationTests]: EurekaServerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-06-20 11:03:24.097 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.ictt.zhanghui.eurekaserver.EurekaServerApplicationTests], using SpringBootContextLoader
2019-06-20 11:03:24.103 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.ictt.zhanghui.eurekaserver.EurekaServerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-06-20 11:03:24.105 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.ictt.zhanghui.eurekaserver.EurekaServerApplicationTests]: EurekaServerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-06-20 11:06:24.641 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.ictt.zhanghui.eurekaserver.EurekaServerApplicationTests], using SpringBootContextLoader
2019-06-20 11:06:24.647 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.ictt.zhanghui.eurekaserver.EurekaServerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-06-20 11:06:24.648 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.ictt.zhanghui.eurekaserver.EurekaServerApplicationTests]: EurekaServerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-06-20 11:08:35.918 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.ictt.zhanghui.eureka_common.EurekaCommonApplicationTests], using SpringBootContextLoader
2019-06-20 11:08:35.924 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.ictt.zhanghui.eureka_common.EurekaCommonApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-06-20 11:08:35.925 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.ictt.zhanghui.eureka_common.EurekaCommonApplicationTests]: EurekaCommonApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-06-20 11:08:36.070 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.ictt.zhanghui.eureka_common.EurekaCommonApplication for test class cn.ictt.zhanghui.eureka_common.EurekaCommonApplicationTests
2019-06-20 11:08:36.264 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-06-20 11:08:36.361 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@cb0755b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@33065d67, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@712625fd, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7bba5817, org.springframework.test.context.support.DirtiesContextTestExecutionListener@742ff096, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@75437611, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@350aac89, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1c5920df, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@17f9d882, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@79e4c792]
2019-06-20 11:08:37.524 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@6853425f: startup date [Thu Jun 20 11:08:37 CST 2019]; root of context hierarchy
2019-06-20 11:08:38.145 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-06-20 11:08:38.292 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$592590fe] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-20 11:08:38.912 [main] INFO  c.i.z.eureka_common.EurekaCommonApplicationTests - No active profile set, falling back to default profiles: default
2019-06-20 11:08:38.918 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7be58f16: startup date [Thu Jun 20 11:08:38 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@6853425f
2019-06-20 11:08:39.965 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=0e3a8cc3-1eb7-3c4a-a3eb-7a66fd5ab021
2019-06-20 11:08:40.040 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-06-20 11:08:40.199 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$592590fe] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-20 11:08:40.712 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
