2019-03-08 09:26:32.395 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$938bcebf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-03-08 09:26:33.964 [main] INFO  o.s.c.c.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2019-03-08 09:26:35.238 [main] INFO  o.s.c.c.client.ConfigServicePropertySourceLocator - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2019-03-08 09:26:35.239 [main] WARN  o.s.c.c.client.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/eureka-consumer/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2019-03-08 09:26:35.241 [main] INFO  c.i.z.eureka_consumer.EurekaConsumerApplication - No active profile set, falling back to default profiles: default
2019-03-08 09:26:36.773 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=b4774cd1-6721-3823-a8cd-7df476460ccc
2019-03-08 09:26:36.907 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$938bcebf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-03-08 09:26:37.615 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9091 (http)
2019-03-08 09:26:37.720 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9091"]
2019-03-08 09:26:37.740 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-03-08 09:26:37.741 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
2019-03-08 09:26:37.751 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.16] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.21]
2019-03-08 09:26:37.751 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2019-03-08 09:26:37.751 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-03-08 09:26:37.752 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-03-08 09:26:38.816 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2019-03-08 09:26:38.997 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-03-08 09:26:38.997 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3741 ms
2019-03-08 09:26:39.130 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-03-08 09:26:39.130 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-03-08 09:26:39.141 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-03-08 09:26:39.141 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-03-08 09:26:39.396 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-03-08 09:26:41.575 [main] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-03-08 09:26:41.703 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2019-03-08 09:26:42.244 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2019-03-08 09:26:42.244 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2019-03-08 09:26:42.438 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2019-03-08 09:26:42.438 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2019-03-08 09:26:42.727 [main] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-03-08 09:26:42.887 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2019-03-08 09:26:42.887 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2019-03-08 09:26:42.888 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2019-03-08 09:26:42.888 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2019-03-08 09:26:42.888 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2019-03-08 09:26:42.888 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2019-03-08 09:26:42.888 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2019-03-08 09:26:43.090 [main] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2019-03-08 09:26:43.092 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2019-03-08 09:26:43.095 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-03-08 09:26:43.098 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1552008403097 with initial instances count: 1
2019-03-08 09:26:43.100 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application EUREKA-CONSUMER with eureka with status UP
2019-03-08 09:26:43.100 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1552008403100, current=UP, previous=STARTING]
2019-03-08 09:26:43.103 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_EUREKA-CONSUMER/DESKTOP-GFT4G5U:eureka-consumer:9091: registering service...
2019-03-08 09:26:43.117 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9091"]
2019-03-08 09:26:43.161 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_EUREKA-CONSUMER/DESKTOP-GFT4G5U:eureka-consumer:9091 - registration status: 204
2019-03-08 09:26:43.183 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9091 (http) with context path ''
2019-03-08 09:26:43.184 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9091
2019-03-08 09:26:43.186 [main] INFO  c.i.z.eureka_consumer.EurekaConsumerApplication - Started EurekaConsumerApplication in 12.91 seconds (JVM running for 14.259)
2019-03-08 09:29:50.725 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$baed45d9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-03-08 09:29:51.333 [main] INFO  o.s.c.c.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2019-03-08 09:29:52.510 [main] INFO  o.s.c.c.client.ConfigServicePropertySourceLocator - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2019-03-08 09:29:52.511 [main] WARN  o.s.c.c.client.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/eureka-consumer/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2019-03-08 09:29:52.515 [main] INFO  c.i.z.eureka_consumer.EurekaConsumerApplication - No active profile set, falling back to default profiles: default
2019-03-08 09:29:53.528 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=b4774cd1-6721-3823-a8cd-7df476460ccc
2019-03-08 09:29:53.715 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$baed45d9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-03-08 09:29:54.217 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9091 (http)
2019-03-08 09:29:54.316 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9091"]
2019-03-08 09:29:54.329 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-03-08 09:29:54.330 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
2019-03-08 09:29:54.344 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.16] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.21]
2019-03-08 09:29:54.344 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2019-03-08 09:29:54.344 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-03-08 09:29:54.345 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-03-08 09:29:55.414 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2019-03-08 09:29:55.887 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-03-08 09:29:55.887 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3357 ms
2019-03-08 09:29:56.095 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-03-08 09:29:56.095 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-03-08 09:29:56.108 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-03-08 09:29:56.109 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-03-08 09:29:56.380 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-03-08 09:29:57.556 [main] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-03-08 09:29:57.615 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2019-03-08 09:29:58.009 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2019-03-08 09:29:58.009 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
